Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%
Max Aarons,DF,Norwich City,22,2881,-0.6440255514819618,0.154,-0.9844762579070052,0.6980590868856809,0.755,0.9,0.77,0.452,-0.4593122379062932,-0.6965581993552696,-0.8505281009326514,-0.33043179896165203,-0.31144389445082427,-0.3745199616435101,0.539073539224088,-0.7936728499845039,-0.5355086378669405,-0.5771357334052152,-0.6307353111610774,0.638,-0.2686777421037858,-0.5640928532301138,-0.40426765294339373,-0.30909920776056493,-0.8398607474981942,-0.6379134023003517,-0.7310386625933079,-0.3478797624824314,-0.3745199616435101,-0.24665236087977901,0.24112506483295434,-1.0223914853279776,0.22699999999999998
Yunis Abdelhamid,DF,Reims,34,2983,-0.5103620997837096,0.33299999999999996,0.31721454732840826,0.3561143402851675,0.8240000000000001,0.899,0.894,0.617,-0.653369332659248,-0.8808806580598835,-0.6771893345881638,-0.8844865440243288,-0.6853148947047335,-0.796312376078403,-0.45433486630101716,-0.9455993154943498,-0.766272081159001,-0.6853266337341177,-0.5439805460322205,0.48100000000000004,-0.6139545109052197,-0.10550709223390604,-0.20192176266026232,-0.30909920776056493,-0.8743214495038819,-1.0444547663655765,-0.7455344330700153,-0.6282788657395838,-0.796312376078403,-0.24665236087977901,-0.031351845511316874,-0.9337997369791152,0.598
Salis Abdul Samed,MF,Clermont Foot,22,2462,-0.5360596493926343,0.278,-0.27446309141496156,0.6600652261522907,0.917,0.935,0.9490000000000001,0.86,-0.653369332659248,-0.6689758054433346,-0.4789590101426641,-0.6665264117987382,-0.6153150668099155,-0.6829696988024946,-0.4788769457606923,-0.6582230833701602,-0.7348639905351515,-0.5184232704943708,-0.49236575523106124,0.322,-0.8669029164200374,-0.4080624884757937,-0.7517183426820866,-0.30909920776056493,-0.5239163980194057,-0.712727599137318,-0.7610644756219282,-0.5082352045553608,-0.6829696988024946,-0.24665236087977901,-0.2858108337453025,-0.6076926528842467,0.5
Laurent Abergel,MF,Lorient,29,2956,-0.6440255514819618,0.233,-0.9844762579070052,1.09699462458628,0.816,0.8859999999999999,0.879,0.6659999999999999,-0.4642358786730292,-0.5437764028443814,-0.3749880666254178,-0.6576627672519101,-0.42295762364699024,-0.5741911057070231,-0.482005500330145,-0.5927729219650061,-0.5598235280642656,-0.17382314381314765,-0.1489097687054953,0.36200000000000004,-0.6798437206365423,-0.2915557841947159,-0.8218712616882278,-0.30909920776056493,-0.8134631856197684,-0.7610278045797664,-0.8061781895202114,-0.5682895232831108,-0.5741911057070231,-0.24665236087977901,-0.2858108337453025,-0.7487607930135204,0.5
Dickson Abiama,FW,Greuther Fürth,23,726,-0.6440255514819618,0.222,-0.9844762579070052,-0.2327905010823831,0.647,0.6920000000000001,0.6579999999999999,0.5,0.886791796771228,1.021405202255106,-0.45218505174497836,0.7163977575839633,-0.6853148947047335,-0.5048962941333319,-0.4975976083260815,1.456125914888228,0.9299554272475945,0.861118444980382,0.4403256899012936,0.182,0.5871618080360124,0.232848656641316,-0.12953423033310502,-0.30909920776056493,0.10552423493448033,0.9252383941719624,1.5945200892229607,1.7057050157900677,-0.5048962941333319,-0.24665236087977901,-0.2858108337453025,0.1685685731241239,0.355
Tammy Abraham,FW,Roma,24,3084,0.43335792348530605,0.344,0.790556658323104,-0.8786861335500193,0.72,0.762,0.6920000000000001,0.8,-0.29080221853261845,-0.5098412292160838,-0.9690125690337106,-0.5413414310413296,-0.5176693924897121,-0.6103891669674941,-0.49460861537951933,-0.5359178780235994,-0.24145462900419293,-0.9546934266310084,-0.8979958301713741,0.435,-0.9691160506612136,-1.0538830374837607,-0.7074205490565223,-0.30909920776056493,-1.1992360762408947,-0.6645909732559465,0.011822016735172703,-0.20022693995094729,-0.6103891669674941,0.014343064969444935,-0.03968529486658038,-1.2070027670173804,0.45299999999999996
Luis Abram,DF,Granada,26,560,-0.6440255514819618,0.0,-0.9844762579070052,-1.8665265126181687,0.882,0.9129999999999999,0.927,0.75,-0.653369332659248,-1.000154726964564,0.24094068527327933,-0.985223064019211,-0.6853148947047335,-0.8143902247084424,-0.3220156226651739,-0.4594252173963566,0.6324225176444128,0.5396271226377176,1.1903633452303661,0.75,2.9006346172254163,2.1267260808336843,6.374403960315522,5.995922127758287,1.5285638227280447,-0.944058533026036,-0.20091781631182984,-0.6282788657395838,-0.8143902247084424,-0.24665236087977901,-0.2858108337453025,0.3130983228171981,0.444
Francesco Acerbi,DF,Lazio,34,2536,-0.2771713802265457,0.43799999999999994,1.9739119358098434,-1.448594044550875,0.903,0.9309999999999999,0.9440000000000001,0.7709999999999999,-0.653369332659248,-0.877394384259584,-0.12832934041676033,-0.8469817868101458,-0.6853148947047335,-0.8002140358379357,-0.49275110241272835,-0.9146131781560817,-0.6772454380858123,-0.904023488894089,-0.9499977491259619,0.45,-0.5650454224240589,-0.4977846966030589,0.1450953156457022,0.03896979341161142,-0.41079688550298177,-1.0507180583326272,-0.7349265682191041,-0.6282788657395838,-0.8002140358379357,0.1765389605287419,-0.2858108337453025,-0.44036655221949395,0.64
Marcos Acuña,DF,Sevilla,30,2260,-0.5264095997368625,0.294,-0.27446309141496156,1.002009972752804,0.794,0.9309999999999999,0.8490000000000001,0.58,-0.15860960701034288,0.06906561318023477,-0.062209113704017584,0.24838080857593406,1.0685834479377294,1.1501786467460688,0.7532298116476406,-0.22868100710724928,-0.5478838373009883,-0.33726159953131235,-0.2428163750310463,0.6,-0.6073625879677376,-0.6260131201418632,-0.5526187319116519,-0.30909920776056493,-0.13775973373143802,-0.050242939737852196,-0.6882670912496583,-0.41904170196219825,1.1501786467460688,-0.24665236087977901,0.16200696088713348,-0.5092903054645989,0.47100000000000003
Che Adams,FW,Southampton,25,2039,0.3662948971768972,0.49,0.6722211305744302,-0.7457076209831529,0.696,0.779,0.748,0.5660000000000001,-0.05928560127275001,-0.16403463199549992,-0.8912579729326505,-0.5185364738810765,-0.600793278090196,-0.6028111272551525,-0.4915697814519944,-0.2740169250728614,-0.36937310315938027,-0.9350604153543315,-0.9135399731737743,0.133,-0.7123161328681455,-0.9768242217807726,-0.6867975678800751,-0.30909920776056493,-0.9744180141927605,-0.3608586190145931,0.1533966382148139,-0.16444758556607592,-0.6028111272551525,-0.24665236087977901,-0.2858108337453025,-0.8515788147373605,0.335
