Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%,Rankings
Yunis Abdelhamid,DF,Reims,35,1980,-0.7910146123601988,0.053,-0.8589644165131605,-0.6879744644569035,0.815,0.845,0.9009999999999999,0.539,-0.5544809003100358,-1.0098574818463357,-0.7664086929595348,-1.041814024178161,-0.6788143132341401,-0.7432163564987421,-0.5552050926643934,-1.0659513608306508,-0.6495080791630018,-0.39502792597545333,-0.29036403999032784,0.784,0.0028892673957618183,0.1304393095230497,-0.12305126442982016,0.05560399551018736,-1.0532280703262298,-1.2253831811823837,-0.8020605099708209,-0.6480453441886262,-0.7432163564987421,-0.2776673809526785,-0.2814031501226062,-0.7194189671919826,0.64,116
Tammy Abraham,FW,Roma,25,1582,0.9232065425367156,0.46799999999999997,0.3209536666206853,-1.044269452282767,0.6859999999999999,0.7809999999999999,0.628,0.696,-0.030605013787402657,-0.1606408477302121,-1.2209761603842904,-0.6197055099719093,-0.5617882181771997,-0.7062801502561287,-0.5570504142250982,-0.29145779589070536,0.14776976587679436,-1.0311707787452742,-1.0033379150415431,0.33299999999999996,-1.0877006288964042,-1.1343282042843552,-0.8444230802042578,-0.37863844029377736,-1.3858714347414502,-0.6481677637338885,0.22606661586669674,-0.16729650755790165,-0.7062801502561287,0.45647053151292516,-0.2814031501226062,-1.4866049931924967,0.517,11
Francesco Acerbi,DF,Inter,35,1110,-0.7910146123601988,0.0,-0.8589644165131605,0.11837735009636657,0.877,0.9209999999999999,0.9009999999999999,0.74,-0.2561144066860732,-0.669519253710058,-0.2089102527035628,-0.8374915972116106,-0.6788143132341401,-0.6894494061132456,-0.4404688838607753,-0.8916676584478547,-0.962639546604153,-0.4682209595377763,-0.6655425822471845,0.833,-0.8283953730458667,-0.04781667360517724,0.8083306017568984,-0.37863844029377736,-0.026179831048436387,-1.129476906993017,-0.8468665517542735,-0.6117720105979385,-0.6894494061132456,-0.2776673809526785,-0.2814031501226062,-0.32551332447902126,0.63,23
Marcos Acuña,DF,Sevilla,31,985,0.12671732234265026,0.25,0.3209536666206853,1.7498333469832148,0.7390000000000001,0.893,0.77,0.483,-0.13313112124683746,1.023872425120755,-0.3605312596640139,1.576263406058866,2.76702004578596,2.5328108339797617,1.4419925032345724,0.35293619981364016,-0.3331976120523972,1.2757351829741488,0.958172201349075,0.7140000000000001,-0.13397194577291888,0.8062089415599523,-0.22664216104092794,-0.37863844029377736,0.4763395765679226,0.539001572256738,-0.3400378960953261,-0.3226051310245378,2.5328108339797617,-0.2776673809526785,1.505952214154037,0.7930512484961441,0.565,12
Sargis Adamyan,FWMF,Köln,29,471,0.16860954441507311,0.5,-0.31438683968215475,-0.6504697288962864,0.723,0.855,0.731,0.667,1.8553170775239534,2.0355360631779265,-0.5252155071400474,3.7813955516934157,1.8106197739714642,0.9668976714299208,0.032170052362640304,2.5470689389323717,1.816319124105003,1.8569085878639409,1.83304057944074,0.4,2.363428237991043,-0.15443110882735442,-0.26807124472968846,-0.37863844029377736,0.9833076742644685,2.4145695773486673,5.67930097044764,1.517879657622868,0.9668976714299208,-0.2776673809526785,-0.2814031501226062,2.1313464763286136,0.28600000000000003,101
Karim Adeyemi,FWMF,Dortmund,21,765,0.3906402316689596,0.42100000000000004,0.1394278076770167,0.13712971787667477,0.736,0.83,0.7829999999999999,0.4,0.28423033223847555,0.8941824040278024,-0.6079774734246177,0.9214855607676022,-0.6788143132341401,0.20494379650593417,-0.4157435093734261,1.3148505860149529,1.6938613993998621,-0.17105338762767475,-0.12828299739845805,0.33299999999999996,0.5675545525578272,0.015547230521190744,-0.922076010436248,-0.37863844029377736,0.05209432672051254,1.384227103081834,1.0554390517156644,0.9645149709224541,0.20494379650593417,-0.2776673809526785,-0.2814031501226062,0.37721688388687463,0.778,19
Amine Adli,FW,Leverkusen,22,652,-0.09778918622346086,0.35700000000000004,-0.2236239102103204,-0.9130028778206065,0.794,0.8290000000000001,0.914,0.6,2.0213309304329545,1.2163219558799834,0.05460031931708763,-0.06850267580578953,-0.6788143132341401,-0.23600056200142203,-0.40844036807539424,0.9050469087784764,1.2561754527487898,0.4725149394176511,0.8751796490653182,0.375,2.802903403962613,-0.3822948129363441,-0.4948006565644815,-0.37863844029377736,0.4276296423982856,1.063870715906771,1.7694200062851035,0.732196938374178,-0.23600056200142203,-0.2776673809526785,-0.2814031501226062,0.1277933757833842,0.40700000000000003,30
Emmanuel Agbadou,DF,Reims,25,1599,-0.7910146123601988,0.14300000000000002,-0.8589644165131605,-0.33167947663103997,0.8540000000000001,0.889,0.917,0.691,-0.2770109468944827,-0.9247731390851726,-0.5408981574693431,-0.7594658962959622,-0.6788143132341401,-0.7822237518764553,-0.549484092802558,-0.9739060229583288,-0.5964382682333257,-0.11421107062535366,-0.009991926896324018,0.6829999999999999,-0.5748050158999636,-0.2508785566152133,0.6305768578971405,0.8043259439226521,-0.7494576832881558,-1.2089695180430602,-0.840665605236621,-0.6162406088881697,-0.7822237518764553,-0.2776673809526785,-0.2814031501226062,-0.09242849679367554,0.579,116
Nayef Aguerd,DF,West Ham,26,515,-0.7910146123601988,0.0,-0.8589644165131605,-1.550583382351099,0.782,0.919,0.847,0.5,-0.7154074347719397,-0.7720708991256704,0.19997512395242076,-0.28302243939192645,-0.6788143132341401,-0.7822237518764553,-0.5663474541492592,-1.19433697076975,-0.962639546604153,2.1376207336633235,2.644710849942059,0.778,1.7150964714827788,1.571884676654152,4.170544828689133,-0.37863844029377736,1.2313446456227357,-1.0891070335710729,-0.19061758870557316,-0.7099890369358006,-0.7822237518764553,-0.2776673809526785,-0.2814031501226062,1.7042377328952902,0.625,74
Ruben Aguilar,DF,Monaco,29,615,-0.7910146123601988,1.0,-0.8589644165131605,-0.9505076133812239,0.8170000000000001,0.89,0.848,0.5429999999999999,-0.7154074347719397,-0.8898895099248001,1.548767680567799,0.9077520095315115,0.7761784209182493,0.4457163692821267,3.2441589970653344,-0.3038753265221629,0.6615708292288103,1.0800075389645,0.2282746382714615,0.385,-0.5544425747076712,3.0667462038013804,1.7435360592802924,-0.37863844029377736,1.7215367468770173,1.116463785018443,0.3478746051266969,-0.3776082465851091,0.4457163692821267,-0.2776673809526785,-0.2814031501226062,1.1347303964140325,0.35700000000000004,61
Jean-Eudes Aholou,MF,Strasbourg,28,834,-0.249068595764092,0.33299999999999996,0.1394278076770167,1.0559957391117967,0.7190000000000001,0.792,0.7040000000000001,0.5529999999999999,-0.7154074347719397,-0.2925261826554867,-0.2962400222087659,-0.16365024162146097,-0.6788143132341401,-0.5609947589069306,-0.534015901639217,-0.44009148048304536,-0.5083360986379742,0.5520803400571848,0.8443417439800928,0.444,0.5733595525880958,1.7896421697409592,-0.47022138379409817,-0.37863844029377736,-0.05796222818823206,0.03700561023864176,0.1392302670475867,0.5155156756881519,-0.5609947589069306,-0.2776673809526785,-0.2814031501226062,0.32825960262768406,0.519,98
Ola Aina,DF,Torino,26,676,-0.1224007398141144,0.429,0.4117165960925197,-0.20041290216887953,0.7440000000000001,0.9259999999999999,0.7440000000000001,0.534,0.5101100199764059,0.8183349764977469,0.5367630959290647,1.7358350365040995,4.205178589790651,1.4203092090219376,2.9619571308365,1.0669112761301116,1.0754942651429853,0.6426189093221786,1.2185895312523254,0.6,0.883197984855846,0.9329522543648437,1.3863450202064802,-0.37863844029377736,1.3410532038254623,1.479889147601147,-0.13485992060128252,0.3584480302713778,1.4203092090219376,-0.2776673809526785,3.480445212724602,1.3726855511791984,0.6,99
Rayan Aït Nouri,DF,Wolves,21,913,-0.2959620626984758,0.5,0.04866487820518246,-0.5754602577750519,0.812,0.888,0.825,0.667,-0.7154074347719397,-0.31888309034546336,-0.28399913692505874,0.5944124389415953,1.0109929374055087,0.19531097566141814,1.213745477047373,-0.037713913368634895,-0.962639546604153,0.9349372713581252,0.9115998053542002,0.667,-1.2278676834928544,-0.2259528300732525,0.6956715044989557,-0.37863844029377736,0.21342124746954252,0.5632052064623577,0.0877100386417806,0.7677038743823338,0.19531097566141814,-0.2776673809526785,1.8611610872054865,0.12734824638552594,0.48100000000000004,75
Ludovic Ajorque,FW,Strasbourg,28,771,-0.20478506911616104,0.318,-0.8589644165131605,-0.3879365799719659,0.698,0.752,0.696,0.688,-0.7154074347719397,0.5164501077040681,-0.7516268010855408,-0.009853167853425014,-0.6788143132341401,-0.7822237518764553,-0.5663474541492592,0.49152375609262594,0.0648865398110386,-0.8034747232325553,-0.5410288730073265,0.33299999999999996,-0.909194067191679,-0.8669053124332547,-0.37813442838256445,-0.37863844029377736,-0.35556881450008365,0.31666878482221195,2.0676180568695717,-0.49788612013613753,-0.7822237518764553,-0.2776673809526785,-0.2814031501226062,-0.7861269899408551,0.602,98
Manuel Akanji,DF,Manchester City,27,1286,-0.7910146123601988,0.182,-0.8589644165131605,-0.14415579882795426,0.9420000000000001,0.972,0.9620000000000001,0.747,-0.3685269110329056,-0.9190875957943374,0.31564412891539595,-1.0310717629217323,-0.5108585101417918,-0.7121560354514805,-0.44625948355809286,-0.8366803823774612,-0.962639546604153,-0.44714022416855775,-0.2729280971255726,0.762,-0.12198744486801999,-0.44593090378055966,-0.4543549074826418,-0.37863844029377736,0.25387308061054376,-0.9332374069293455,-0.5809784330234342,-0.7099890369358006,-0.7121560354514805,-0.2776673809526785,-0.2814031501226062,-0.4261874065964585,0.375,3
Nathan Aké,DF,Manchester City,27,1156,-0.7910146123601988,0.0,-0.8589644165131605,-1.2505454978661616,0.915,0.95,0.937,0.6759999999999999,-0.7154074347719397,-0.7856188419310708,1.3919080626223486,-0.6925264857886025,-0.6788143132341401,-0.6374644731823466,0.3115472552292675,-0.8183350266554055,-0.4858995961747185,-0.5401344474790255,-0.714442509121997,0.7,-0.3280102323316154,-0.048559219356657864,-0.1540983902580323,-0.37863844029377736,0.7977154107950963,-0.6247694346070384,-0.4738213412044398,-0.5213715642108406,-0.6374644731823466,-0.2776673809526785,-0.2814031501226062,-0.3761090184070265,0.564,3
Kevin Akpoguma,DF,Hoffenheim,27,1030,-0.7910146123601988,0.16699999999999998,-0.8589644165131605,-0.031641592146102376,0.787,0.863,0.88,0.489,-0.7154074347719397,-0.8803794875284578,0.16290492781127106,-0.5850605649992515,-0.1395853354280822,-0.5614343197870688,-0.08560323629737952,-1.0070175242786328,-0.962639546604153,1.0498116778328535,1.097205624477935,0.737,1.4780124171152382,0.26592692935062523,0.38288345880589525,1.1239247065075142,-0.08334803008580266,-0.8972072419769864,-0.5735223113824034,-0.36599105391265774,-0.5614343197870688,-0.2776673809526785,-0.2814031501226062,0.17098521761392466,0.56,71
David Alaba,DF,Real Madrid,30,1365,-0.45989155167070933,0.111,0.1394278076770167,0.6621960157253157,0.883,0.958,0.889,0.5770000000000001,0.21832014979822836,-0.3528809558788377,-0.28656931445205336,-0.6929738767124349,-0.22671350156117331,-0.3892921134562672,-0.21256727337703676,-0.7358261084256233,-0.30655456720364554,-1.0185624641167006,-0.8278320708930386,0.545,-0.7398862355660486,-0.5458119177027349,-0.2863040319661933,0.5032077370311973,-0.5378617910545634,-0.6687493709257443,-0.7693869600471466,-0.6401038451184756,-0.3892921134562672,-0.2776673809526785,0.7217564133033161,-0.6954970140431855,0.455,4
Jordi Alba,DF,Barcelona,33,931,-0.30553343315380455,0.222,0.1394278076770167,1.224767049134574,0.852,0.919,0.871,0.645,1.2696412459590003,1.8576290532824613,2.943691691523719,2.9008182666299303,2.8674576550201656,1.5452314717883882,1.9139350314829515,1.033234120592235,0.48025411109997035,0.01286274465261197,0.4228267044746498,0.524,-0.38844092604032354,-0.547432720285782,-0.12846932741760225,-0.37863844029377736,1.6672522813694886,1.2630453807208384,-0.08389814901393493,-0.13912235189739497,1.5452314717883882,-0.2776673809526785,-0.2814031501226062,0.6762702812035386,0.375,6
